title,price,star_rating,availability,category
A Light in the Attic,51.77,Three,Yes,Home
Tipping the Velvet,53.74,One,Yes,Home
Soumission,50.1,One,Yes,Home
Sharp Objects,47.82,Four,Yes,Home
Sapiens: A Brief History of Humankind,54.23,Five,Yes,Home
The Requiem Red,22.65,One,Yes,Home
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,Yes,Home
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,Yes,Home
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,Yes,Home
The Black Maria,52.15,One,Yes,Home
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,Yes,Home
Shakespeare's Sonnets,20.66,Four,Yes,Home
Set Me Free,17.46,Five,Yes,Home
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,Yes,Home
Rip it Up and Start Again,35.02,Five,Yes,Home
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,Yes,Home
Olio,23.88,One,Yes,Home
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,Yes,Home
Libertarianism for Beginners,51.33,Two,Yes,Home
It's Only the Himalayas,45.17,Two,Yes,Home
In Her Wake,12.84,One,Yes,Home
How Music Works,37.32,Two,Yes,Home
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,Yes,Home
Chase Me (Paris Nights #2),25.27,Five,Yes,Home
Black Dust,34.53,Five,Yes,Home
Birdsong: A Story in Pictures,54.64,Three,Yes,Home
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,Yes,Home
Aladdin and His Wonderful Lamp,53.13,Three,Yes,Home
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Five,Yes,Home
Wall and Piece,44.18,Four,Yes,Home
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,Yes,Home
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,Yes,Home
The Elephant Tree,23.82,Five,Yes,Home
The Bear and the Piano,36.89,One,Yes,Home
Sophie's World,15.94,Five,Yes,Home
Penny Maybe,33.29,Three,Yes,Home
Maude (1883-1993):She Grew Up with the country,18.02,Two,Yes,Home
"In a Dark, Dark Wood",19.63,One,Yes,Home
Behind Closed Doors,52.22,Four,Yes,Home
You can't bury them all: Poems,33.63,Two,Yes,Home
Slow States of Collapse: Poems,57.31,Three,Yes,Home
Reasons to Stay Alive,26.41,Two,Yes,Home
Private Paris (Private #10),47.61,Five,Yes,Home
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,Yes,Home
Without Borders (Wanderlove #1),45.07,Two,Yes,Home
When We Collided,31.77,One,Yes,Home
"We Love You, Charlie Freeman",50.27,Five,Yes,Home
Untitled Collection: Sabbath Poems 2014,14.27,Four,Yes,Home
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,Yes,Home
Unicorn Tracks,18.78,Three,Yes,Home
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,Yes,Home
